Event Title ,Date of Event,"# ""Going""","# ""Interested""",Page Views,People Reached,% Men 18-24,% Women 18-24,% Men 25-34,% Women 25-34,% Men 35-44,% Women 35-44,% Men 45-54,% Women 45-54,% Men 55-64,% Women 55-64,% Men 65+,% Women 65+,Event Type,Co-Hosts,Spent,Taproom Sales
Grand Opening Night 1,10/6/2017,,923,1200,,,,,,,,,,,,,,Major,,,4057.04
Grand Opening Night 2,10/7/2017,,,,,,,,,,,,,,,,,Major,,,3072.23
Halloween Party,10/28/2017,25,78,103,,,,,,,,,,,,,,Major,,,1166.48
Beer and a Burger,10/31/2017,1,0,,,,,,,,,,,,,,,Minor,,,117.88
Live Music Mondays,11/6/2017,2,38,,,,,,,,,,,,,,,Minor,,,250.75
Powerful Pints,11/14/2017,8,43,,,,,,,,,,,,,,,Minor,,7,651.83
Hackfort Happy Hour,11/21/2017,19,19,,,,,,,,,,,,,,,Minor,,,655.14
Black Friday Hop & Shop,11/24/2017,18,32,,,,,,,,,,,,,,,Minor,,,1601.28
Powerful Pints,12/12/2017,10,22,,,,,,,,,,,,,,,Minor,,,497.62
Fa La La La La La La Lost Grove,12/16/2017,63,398,,,,,,,,,,,,,,,Major,,30,2819.87
Benefit Concert for Sandra,12/30/2017,22,33,,,,,,,,,,,,,,,Minor,,,890.09
Tap Token Release Party,1/3/2018,8,29,,,,,,,,,,,,,,,Minor,,,292.66
Powerful Pints,1/9/2018,10,52,,,,,,,,,,,,,,,Minor,,,551.96
Sushi Night w/ Genki Takoyaki,1/19/2018,7,62,,,,,,,,,,,,,,,Minor,,,1135.82
Keg Fit 80's Work Out Party ,1/20/2018,19,128,,,,,,,,,,,,,,,Major,1,,1274.48
Board Games and Brunch,2/11/2018,22,241,683,8400,3%,5%,20%,28%,12%,14%,5%,5%,2%,3%,1%,2%,Minor,,,642.47
Powerful Pints,2/13/2018,37,81,393,5700,9%,11%,24%,23%,7%,7%,5%,5%,2%,3%,1%,2%,Minor,1,,735.36
Art & Beer ,2/17/2018,12,117,276,3800,3%,7%,15%,24%,9%,14%,5%,9%,3%,6%,2%,3%,Minor,1,,1341.5
Hackfort Happy Hour,2/20/2018,25,51,272,3300,3%,4%,21%,24%,13%,13%,5%,5%,3%,4%,2%,2%,Minor,1,,647.12
Live Music Fridays,2/23/2018,,588,,,,,,,,,,,,,,,Minor,1,,1051.79
Powerful Pints,3/13/2018,6,31,196,2000,1%,2%,16%,23%,10%,25%,5%,7%,2%,4%,1%,2%,Minor,1,,403.76
80s Workout - Kegfit,3/31/2018,17,49,244,3200,2%,4%,20%,28%,11%,15%,5%,7%,2%,4%,1%,2%,Minor,1,,902.81
Powerful Pints,4/10/2018,12,44,180,2800,1%,4%,13%,25%,11%,17%,6%,10%,3%,5%,1%,3%,Minor,1,,553.73
Earth Day Weekend Astronaut,4/20/2018,16,84,192,3300,2%,5%,19%,27%,12%,15%,6%,7%,2%,3%,1%,2%,Minor,,,1167.41
Lit Open Mic Night ,5/1/2018,,125,,,,,,,,,,,,,,,Minor,,,321.72
BFF Block Party w/Idaho Gives,5/3/2018,275,797,3200,28400,3%,7%,14%,22%,10%,17%,5%,9%,2%,5%,2%,3%,Major,6,,5892.97
Powerful Pints,5/8/2018,1,5,72,762,3%,4%,16%,25%,11%,16%,6%,8%,3%,3%,2%,2%,Minor,1,,422.18
The Syringa Open Charity ,5/11/2018,14,32,146,2000,4%,3%,26%,22%,16%,11%,7%,5%,3%,2%,2%,1%,Minor,1,,1579.28
Crowler Release Party,5/18/2018,4,28,94,1500,2%,4%,20%,25%,12%,14%,8%,6%,3%,3%,2%,1%,Minor,,,1421.2
Kleiner Park Party,6/8/2018,50,533,1100,16300,2%,6%,9%,23%,9%,21%,6%,12%,2%,5%,1%,3%,Major,4,,778.23
Gambler 500 ,6/8/2018,49,152,627,7700,5%,3%,22%,14%,21%,11%,10%,5%,4%,3%,2%,2%,Major,1,,1872
Powerful Pints ,6/12/2018,5,31,120,1800,1%,4%,9%,21%,10%,23%,6%,15%,3%,4%,2%,2%,Minor,1,,771.5
The Road to X Games after party,6/16/2018,33,120,372,6600,3%,5%,22%,25%,13%,14%,6%,6%,2%,3%,1%,1%,Major,1,10,6672.16
Cheers to Making Beer,6/21/2018,11,59,156,2500,2%,6%,15%,32%,9%,17%,4%,7%,2%,3%,1%,2%,Minor,1,,1242
Friday Live Music w/ Carter ,6/22/2018,0,7,21,408,2%,3%,17%,28%,14%,16%,8%,4%,3%,1%,1%,1%,Minor,1,,1233.75
Summer Solar and Social Impact,6/27/2018,5,36,142,1700,2%,3%,16%,25%,14%,19%,6%,6%,2%,4%,1%,2%,Minor,1,,654
Friday Live Music w/ Johnny ,6/29/2018,6,45,186,1800,4%,8%,16%,23%,11%,12%,8%,7%,4%,3%,2%,2%,Minor,1,,822
4th of July Float & Patio Party,7/4/2018,44,317,1200,12600,5%,10%,20%,27%,9%,12%,4%,6%,2%,3%,1%,1%,Major,2,15,3109.5
Live Music Fridays,7/6/2018,1,16,75,980,2%,4%,16%,26%,13%,17%,7%,7%,2%,3%,1%,1%,Minor,1,,1072
Powerful Pints,7/10/2018,5,20,97,1200,2%,4%,21%,27%,13%,16%,5%,5%,2%,3%,1%,1%,Minor,1,,676
Live Music Fridays,7/13/2018,1,14,63,875,2%,3%,15%,25%,14%,19%,7%,8%,2%,3%,1%,2%,Minor,1,,1079.5
Live Music Fridays,7/20/2018,0,5,50,476,2%,3%,18%,26%,14%,16%,7%,6%,3%,2%,2%,2%,Minor,1,,786
Live Music Fridays,7/27/2018,7,35,97,1300,4%,9%,21%,27%,9%,11%,5%,5%,2%,3%,1%,2%,Minor,1,,804.75
Altitude Oasis ,7/28/2018,206,783,2800,21100,7%,11%,21%,24%,10%,11%,5%,5%,2%,3%,1%,2%,Major,4,,5900.6
Live Music Fridays,8/3/2018,4,22,64,1400,6%,10%,17%,22%,11%,11%,8%,6%,3%,3%,2%,1%,Minor,1,,1230
Lost Grove Goathead Gang ,8/4/2018,17,79,281,3200,2%,4%,21%,27%,13%,13%,5%,5%,2%,4%,25,2%,Minor,,,1067.5
Live Music Fridays,8/10/2018,1,5,27,710,2%,3%,19%,26%,16%,15%,6%,6%,3%,2%,2%,1%,Minor,1,,768.5
Floats on Floats Party ,8/11/2018,10,63,372,2100,3%,6%,20%,26%,12%,13%,5%,7%,2%,3%,1%,2%,Minor,2,,1454
Powerful Pints,8/14/2018,14,46,175,2500,2%,3%,16%,20%,11%,15%,8%,11%,4%,6%,4%,6%,Minor,1,,746
Buddy DeVore @ LG,8/17/2018,2,15,89,671,2%,3%,17%,21%,13%,14%,8%,7%,5%,3%,3%,3%,Minor,1,,1421
Live Music Fridays,8/24/2018,0,9,63,645,3%,4%,16%,25%,14%,16%,7%,8%,3%,3%,2%,2%,Minor,1,,1311.5
Pure Water Brew Kickoff ,8/30/2018,46,166,1100,10300,2%,4%,11%,19%,11%,19%,7%,11%,3%,7%,2%,5%,Major,6,,736
Live Music Fridays,8/31/2018,4,28,120,1400,4%,4%,13%,19%,12%,16%,9%,10%,5%,4%,2%,3%,Minor,1,,1557.5
Live Music from Harrison Gray,9/5/2018,8,9,71,1000,4%,4%,17%,20%,15%,15%,8%,9%,3%,4%,2%,2%,Minor,1,,483.5
Live Music Fridays ,9/7/2018,4,23,88,1200,3%,3%,13%,18%,10%,10%,9%,9%,6%,8%,7%,4%,Minor,1,,621.5
Powerful Pints,9/11/2018,14,49,122,2200,2%,5%,14%,24%,10%,16%,5%,8%,3%,6%,2%,5%,Minor,1,,693
Live Music Fridays,9/14/2018,6,18,88,926,4%,2%,18%,16%,16%,13%,11%,7%,5%,4%,3%,2%,Minor,1,,1069
Doubles Cribbage Tournament ,9/16/2018,13,89,193,3500,3%,4%,22%,26%,11%,12%,7%,5%,2%,4%,1%,2%,Minor,1,,671
IWA's 2nd Annual Summer Roundup,9/19/2018,30,122,1200,6500,2%,3%,15%,17%,16%,16%,9%,8%,5%,5%,2%,25%,Minor,16,,1136.5
Hello Fall Concert,9/22/2018,,678,1500,14700,5%,11%,16%,25%,9%,14%,5%,8%,2%,4%,1%,2%,Major,5,20,2299
Live Music Fridays,9/28/2018,3,5,34,543,2%,3%,18%,24%,15%,16%,10%,6%,2%,2%,1%,2%,Minor,1,,929
Mark Asher Booking Signing,9/29/2018,0,17,65,1200,1.74%,5.03%,10.40%,26%,8.16%,18.20%,5.30%,10.90%,1.65%,7.38%,1.13%,4.08%,Minor,,,654
